S.No.,District Name,Police Station Name,Code
1,AGRA,ACHHNERA,447
2,AGRA,AGRA-SECTOR (VIGILANCE ESTT.),1491
3,AGRA,ANTI POWER THEFT THANA AGRA,1487
4,AGRA,ANTI-HUMAN TRAFFICKING UNIT,1489
5,AGRA,BAH,448
6,AGRA,BARHAN,449
7,AGRA,BASAI ARELA,450
8,AGRA,BASAI JAGNER,451
9,AGRA,BASAUNI,452
10,AGRA,CANT GRP,1487
11,AGRA,CHHATTA,453
12,AGRA,CHITRAHAT,454
13,AGRA,CYBER CRIME P.S AGRA,1490
14,AGRA,DAUKI,455
15,AGRA,ETMADAULA,456
16,AGRA,ETMADPUR,457
17,AGRA,FATEHABAD,458
18,AGRA,FATEHPUR SIKRI,459
19,AGRA,GRP AGRA CANTT,1489
20,AGRA,GRP AGRA FORT,1486
21,AGRA,HARI PARVAT,460
22,AGRA,IRADAT NAGAR,461
23,AGRA,JAGDISHPURA,462
24,AGRA,JAGNER,463
25,AGRA,JAITPUR,464
26,AGRA,JIWANIMANDI,465
27,AGRA,KAGARAUL,466
28,AGRA,KAMLA NAGAR,1492
29,AGRA,KHANDAULI,467
30,AGRA,KHERA RATHORE,468
31,AGRA,KHERAGARH,469
32,AGRA,KOTWALI,470
33,AGRA,LOHAMANDI,471
34,AGRA,MADAN MOHAN GATE,472
35,AGRA,MAHILA THANA,473
36,AGRA,MAHILA THANA,489
37,AGRA,MALPURA,474
38,AGRA,MANSUKHPURA,475
39,AGRA,MANTOLA,476
40,AGRA,NAI-KI-MANDI,477
41,AGRA,NEW AGRA,478
42,AGRA,NIBORA,479
43,AGRA,PARYTAN THANA,1486
44,AGRA,PIDHORA,480
45,AGRA,PINAHAT,481
46,AGRA,RAKABAGANJ,482
47,AGRA,SADAR BAZAR,483
48,AGRA,SAIYAN,484
49,AGRA,SHAHGANJ,485
50,AGRA,SHAMSABAD,486
51,AGRA,SIKANDRA,487
52,AGRA,TAJGANJ,488
53,AGRA,TOURISM,1488
54,ALIGARH,KOTWALI,512
55,ALIGARH,KHAIR,511
56,ALIGARH,CYBER CRIME P.S ALIGARH,6170
57,ALIGARH,MAHUA KHEDA,6169
58,ALIGARH,DELHI GATE,499
59,ALIGARH,GABHANA,500
60,ALIGARH,AKRABAD,490
61,ALIGARH,GRP ALIGARH,505
62,ALIGARH,RORAVAR,6171
63,ALIGARH,PISAWA,518
64,ALIGARH,CHANDAUS,494
65,ALIGARH,JAWAN,510
66,ALIGARH,BARLA,493
67,ALIGARH,CHANDPA,495
68,ALIGARH,DADON,498
69,ALIGARH,CIVIL LINES,497
70,ALIGARH,ATRAULI,491
71,ALIGARH,CHHARRA,496
72,ALIGARH,GANGIRI,502
73,ALIGARH,GONDA,503
74,ALIGARH,GANDHI PARK,501
75,ALIGARH,BANNADEVI,492
76,ALIGARH,HARDUAGANJ,504
77,ALIGARH,HATHRAS,506
78,ALIGARH,HATHRAS GATE,507
79,ALIGARH,HATHRAS JUNCTION,508
80,ALIGARH,IGLAS,509
81,ALIGARH,TAPPAL,522
82,ALIGARH,MAHILA THANA,516
83,ALIGARH,VIJAYGARH,523
84,ALIGARH,MADRAK,515
85,ALIGARH,LODHA,514
86,ALIGARH,PALIMUKIMPUR,517
87,ALIGARH,QWARSI,513
88,ALIGARH,SAIKANDRA RAO,519
89,ALIGARH,SASNI,520
90,ALIGARH,SASNI GATE,521
91,ALLAHABAD,ATTARSUIYA,524
92,ALLAHABAD,MANJHANPUR,554
93,ALLAHABAD,MOHABBATPUR,557
94,ALLAHABAD,PACHHIM SARIRA,561
95,ALLAHABAD,PIPARI,563
96,ALLAHABAD,PURAMUFTI,564
97,ALLAHABAD,SARAI AQIL,566
98,ALLAHABAD,CHARWA,528
99,ALLAHABAD,KARARI,540
100,ALLAHABAD,KASELI,542
101,ALLAHABAD,KOKHRAJ,546
102,ALLAHABAD,G.R.P.,1487
103,ALLAHABAD,KOSAMBI,548
104,ALLAHABAD,SAINI,565
105,ALLAHABAD,BARA,526
106,ALLAHABAD,PHOOLPUR,562
107,ALLAHABAD,HOLA GARH,536
108,ALLAHABAD,MAUAIMA,555
109,ALLAHABAD,DHOOMANGANJ,532
110,ALLAHABAD,KOTWALI,549
111,ALLAHABAD,INDUSTRIAL AREA,537
112,ALLAHABAD,SHIVKUTI,1486
113,ALLAHABAD,LALAPUR,551
114,ALLAHABAD,SHAHAGANJ,569
115,ALLAHABAD,KHIRI,544
116,ALLAHABAD,BAHARIA,525
117,ALLAHABAD,SHANKERGARH,570
118,ALLAHABAD,MUTHIGANJ,558
119,ALLAHABAD,MAHILA THANA,552
120,ALLAHABAD,MANDA,553
121,ALLAHABAD,KAUNDHIYARA,543
122,ALLAHABAD,GHOORPUR,534
123,ALLAHABAD,KYDGANJ,550
124,ALLAHABAD,JHUNSI,538
125,ALLAHABAD,KARAILI SCHEME,539
126,ALLAHABAD,CIVIL LINES,529
127,ALLAHABAD,KARCHHANA,541
128,ALLAHABAD,KHULDABAD,545
129,ALLAHABAD,CANTONMENT,527
130,ALLAHABAD,SORAON,571
131,ALLAHABAD,COLONALGANJ,530
132,ALLAHABAD,MEJA,556
133,ALLAHABAD,SARAI MEMREZ,568
134,ALLAHABAD,KORAON,547
135,ALLAHABAD,NAINI,559
136,ALLAHABAD,GEORGE TOWN,533
137,ALLAHABAD,HANDIA,535
138,ALLAHABAD,NAWABAGANJ,560
139,ALLAHABAD,SARAI INAYAT,567
140,ALLAHABAD,UTRAON,573
141,ALLAHABAD,THARWAI,572
142,ALLAHABAD,DARAGANJ,531
143,AMBEDKAR NAGAR,AHIRAULI,574
144,AMBEDKAR NAGAR,AKBARPUR,575
145,AMBEDKAR NAGAR,ALAPUR,576
146,AMBEDKAR NAGAR,ALIGANJ,55
147,AMBEDKAR NAGAR,BASKHARI,577
148,AMBEDKAR NAGAR,BEWANA,578
149,AMBEDKAR NAGAR,BHITI,579
150,AMBEDKAR NAGAR,G R P AKBARPUR,586
151,AMBEDKAR NAGAR,HANSWAR,580
152,AMBEDKAR NAGAR,IBRAHIMPUR,581
153,AMBEDKAR NAGAR,JAITPUR,582
154,AMBEDKAR NAGAR,JALALPUR,583
155,AMBEDKAR NAGAR,JEHANGIRGANJ,584
156,AMBEDKAR NAGAR,KATKA,6169
157,AMBEDKAR NAGAR,MAHILA THANA,585
158,AMBEDKAR NAGAR,MAHRUA,31
159,AMBEDKAR NAGAR,MALIPUR,587
160,AMBEDKAR NAGAR,RAJESULTANPUR,588
161,AMBEDKAR NAGAR,SAMMANPUR,589
